Rank,State,Vehicles per 1000 People
1,New York,539
2,New Jersey,665
3,Maryland,690
4,Mississippi,692
5,North Carolina,790
6,Florida,796
7,Texas,797
8,Pennsylvania,798
9,Nevada,803
10,Massachusetts,820
11,Arizona,823
12,Illinois,825
13,Georgia,829
14,Rhode Island,829
15,Maine,830
16,Kansas,830
17,District of Columbia,830
18,Missouri,830
19,New Hampshire,830
20,Virginia,840
21,Kentucky,840
22,California,840
23,Tennessee,840
24,South Carolina,850
25,Oklahoma,860
26,Connecticut,860
27,Wisconsin,860
28,Utah,870
29,Washington,870
30,Michigan,870
31,Minnesota,870
32,Hawaii,872
33,West Virginia,876
34,New Mexico,877
35,Oregon,896
36,Louisiana,910
37,Vermont,910
38,Ohio,910
39,Indiana,914
40,Colorado,919
41,Arkansas,931
42,South Dakota,950
43,Delaware,950
44,Alaska,960
45,Alabama,1030
46,Nebraska,1046
47,Iowa,1050
48,North Dakota,1080
49,Montana,1120
50,Idaho,1122
51,Wyoming,1140
